NOME;LONGITUDE;LATITUDE;MAIS_SECO
MONSENHOR TABOSA;-40,066667;-4,8;SETEMBRO-OUTUBRO-NOVEMBRO
S+O BENEDITO;-40,866667;-4,05;AGOSTO-SETEMBRO-OUTUBRO
HIDROL-NDIA;-40,4;-4,416667;AGOSTO-SETEMBRO-OUTUBRO
OLHO D'-GUA DA BICA;-38;-5,383333;SETEMBRO-OUTUBRO-NOVEMBRO
POTIRETAMA;-38,166667;-5,7;SETEMBRO-OUTUBRO-NOVEMBRO
JAGUARETAMA;-38,766667;-5,616667;AGOSTO-SETEMBRO-OUTUBRO
CASTANH+O;-38,407778;-5,467222;SETEMBRO-OUTUBRO-NOVEMBRO
IRACEMA;-38,3;-5,816667;SETEMBRO-OUTUBRO-NOVEMBRO
MORADA NOVA;-38,366667;-5,1;SETEMBRO-OUTUBRO-NOVEMBRO
PIQUET CARNEIRO;-39,416667;-5,816667;SETEMBRO-OUTUBRO-NOVEMBRO
SOLONËPOLE;-39,016667;-5,7;AGOSTO-SETEMBRO-OUTUBRO
BOA VIAGEM;-39,716667;-5,133333;SETEMBRO-OUTUBRO-NOVEMBRO
PEDRA BRANCA;-39,716667;-5,45;SETEMBRO-OUTUBRO-NOVEMBRO
SENADOR POMPEU;-39,368333;-5,58;SETEMBRO-OUTUBRO-NOVEMBRO
MOMBAÃA;-39,616667;-5,75;SETEMBRO-OUTUBRO-NOVEMBRO
NOVO ORIENTE;-40,773889;-5,538611;AGOSTO-SETEMBRO-OUTUBRO
INDEPEND-NCIA;-40,312778;-5,393611;SETEMBRO-OUTUBRO-NOVEMBRO
AEROPORTO (CRATE+S);-40,7;-5,2;AGOSTO-SETEMBRO-OUTUBRO
LAVRAS DA MANGABEIRA (DNOCS);-38,960833;-6,762778;AGOSTO-SETEMBRO-OUTUBRO
UMARI;-38,7;-6,633333;AGOSTO-SETEMBRO-OUTUBRO
AURORA;-38,966667;-6,933333;AGOSTO-SETEMBRO-OUTUBRO
PEREIRO;-38,466667;-6,05;SETEMBRO-OUTUBRO-NOVEMBRO
IPAUMIRIM;-38,716667;-6,783333;AGOSTO-SETEMBRO-OUTUBRO
ICË;-38,863611;-6,408611;AGOSTO-SETEMBRO-OUTUBRO
ORËS;-38,916667;-6,25;SETEMBRO-OUTUBRO-NOVEMBRO
GRANJEIRO;-39,216667;-6,883333;JULHO-AGOSTO-SETEMBRO
ASSAR+;-39,866667;-6,866667;JULHO-AGOSTO-SETEMBRO
ACOPIARA;-39,45;-6,116667;SETEMBRO-OUTUBRO-NOVEMBRO
CEDRO;-39,066667;-6,6;AGOSTO-SETEMBRO-OUTUBRO
FARIAS BRITO;-39,566667;-6,916667;JULHO-AGOSTO-SETEMBRO
CARI+S;-39,5;-6,533333;JULHO-AGOSTO-SETEMBRO
